gene	tpm_wt	label	strain	tpm_mutant	background	knockout
5.5-5.7	0.0055430238851232475		phi10	0.006476902324545272	wt	"paste(Delta, phi, ""10"")"
5.5	0.006349627957261149		phi10	0.007598936972449431	wt	"paste(Delta, phi, ""10"")"
5.7	0.007626246740450409		phi10	0.008753528691712352	wt	"paste(Delta, phi, ""10"")"
5.9	0.007788084759816823		phi10	0.008826796175398704	wt	"paste(Delta, phi, ""10"")"
6	0.006998431512180275		phi10	0.007979396478227227	wt	"paste(Delta, phi, ""10"")"
6.3	0.011663469691809978		phi10	0.013314341094207783	wt	"paste(Delta, phi, ""10"")"
6.5	0.03246092561985811		phi10	0.039904567104821036	wt	"paste(Delta, phi, ""10"")"
6.7	0.03499898559703219		phi10	0.03990424575685753	wt	"paste(Delta, phi, ""10"")"
7	0.03671498722302529		phi10	0.043759710372676	wt	"paste(Delta, phi, ""10"")"
7.3	0.04331317840307435		phi10	0.05106991352958988	wt	"paste(Delta, phi, ""10"")"
7.7	0.03547522917069264		phi10	0.034821065143511264	wt	"paste(Delta, phi, ""10"")"
8	0.03006269427058609	8	phi10	0.03095889086978435	wt	"paste(Delta, phi, ""10"")"
9	0.05589605308615307	9	phi10	0.04659168206537775	wt	"paste(Delta, phi, ""10"")"
10A	0.128235911571677	10A	phi10	0.07467560531806845	wt	"paste(Delta, phi, ""10"")"
11	0.012463572315618841		phi10	0.008799418035889219	wt	"paste(Delta, phi, ""10"")"
12	0.009027979005096087		phi10	0.006643064998084873	wt	"paste(Delta, phi, ""10"")"
13	0.00979804159769017		phi10	0.00964531857731051	wt	"paste(Delta, phi, ""10"")"
14	0.01804931561400329		phi10	0.01766423376012905	wt	"paste(Delta, phi, ""10"")"
15	0.013813525210848188		phi10	0.013057459220405116	wt	"paste(Delta, phi, ""10"")"
16	0.009544124375287162		phi10	0.009218804303945113	wt	"paste(Delta, phi, ""10"")"
17	0.02197047996468145		phi10	0.029649999338612516	wt	"paste(Delta, phi, ""10"")"
17.5	0.0217402318217589		phi10	0.02691345325167985	wt	"paste(Delta, phi, ""10"")"
18	0.018712417900320275		phi10	0.02460562607460915	wt	"paste(Delta, phi, ""10"")"
18.5	0.012517383721651175		phi10	0.0158504772530962	wt	"paste(Delta, phi, ""10"")"
18.7	0.012856258692398162		phi10	0.01542960243034815	wt	"paste(Delta, phi, ""10"")"
19	0.010738206128414174		phi10	0.01290166363850305	wt	"paste(Delta, phi, ""10"")"
19.2	0.015298211061326937		phi10	0.01968433221457845	wt	"paste(Delta, phi, ""10"")"
19.3	0.015641304573933774		phi10	0.018613184229455567	wt	"paste(Delta, phi, ""10"")"
19.5	0.041365523145565235		phi10	0.0451516813758753	wt	"paste(Delta, phi, ""10"")"
0.3	0.0009473417853596758		phi910v2	0.003676002087415245	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
0.4	1.5760609980165976e-06		phi910v2	4.3006646248448163e-07	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
0.7	0.00045426013250041597		phi910v2	0.001807866544259435	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
0.5	9.070193380385774e-07		phi910v2	3.710274035034482e-07	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
0.6B	4.286619184509195e-07		phi910v2	2.2341626770070735e-07	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
0.6A	2.157146854190165e-07		phi910v2	1.8340233598531583e-07	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
1	0.0011262250376203181		phi910v2	0.002343417446835028	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
1.2	0.006946088163029126		phi910v2	0.013490470252520084	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
