date,state,unemploy_perc,house_price_index,house_price_perc
2009-10-01,Florida,11.0,131.68077836,-0.12416287628525868
2009-11-01,Florida,11.2,130.69849678,-0.100829214241002
2009-12-01,Florida,11.2,129.34860883,-0.08072401312011956
2010-01-01,Florida,11.3,128.30669213,-0.06644444943103811
2010-02-01,Florida,11.2,128.07345834,-0.054282748984949114
2010-03-01,Florida,11.2,128.00673892,-0.04380083363605869
2010-04-01,Florida,11.1,127.59727708,-0.03755021828345262
2010-05-01,Florida,11.0,126.98107529,-0.037953332512641214
2010-06-01,Florida,10.9,126.4189018,-0.04408897749083651
2010-07-01,Florida,10.9,125.62854506,-0.05253315698560168
2010-08-01,Florida,11.0,124.1477811,-0.06371443225834672
2010-09-01,Florida,11.0,122.36905087,-0.0751198115372842
2010-10-01,Florida,11.0,121.08543876,-0.08046230992828407
2010-11-01,Florida,11.0,119.79359255,-0.08343557499636611
2010-12-01,Florida,10.8,117.88351549,-0.0886371600259599
2011-01-01,Florida,10.7,116.2920554,-0.09363998502764603
2011-02-01,Florida,10.5,115.6061431,-0.09734503465115074
2011-03-01,Florida,10.4,115.72405288,-0.09595343294915337
2011-04-01,Florida,10.3,116.55967283,-0.08650344664549325
2011-05-01,Florida,10.2,117.48158584,-0.07481027726615974
2011-06-01,Florida,10.2,117.68913539,-0.06905428132741454
2011-07-01,Florida,10.1,117.48964391,-0.06478544463054048
2011-08-01,Florida,9.9,117.54516702,-0.0531835045419109
2011-09-01,Florida,9.7,117.76543304,-0.03762076928169278
2011-10-01,Florida,9.5,117.60711507,-0.02872619305525481
2011-11-01,Florida,9.3,117.01715296,-0.02317686222525761
2011-12-01,Florida,9.1,116.37340446,-0.012810196775376093
2012-01-01,Florida,8.9,116.16158812,-0.001121893318947964
2012-02-01,Florida,8.8,117.21992322,0.013959293829256758
2012-03-01,Florida,8.7,119.35349212,0.03136287703096219
2012-04-01,Florida,8.7,121.4205532,0.04170293423085969
2012-05-01,Florida,8.7,122.86921586,0.04585935728972457
2012-06-01,Florida,8.6,123.68126363,0.05091488029156799
2012-07-01,Florida,8.5,124.26042899,0.05762878203279409
2012-08-01,Florida,8.4,125.11554157,0.0644039626802515
2012-09-01,Florida,8.3,125.95455213,0.06953754491964115
2012-10-01,Florida,8.1,126.54608114,0.07600701764242324
2012-11-01,Florida,8.1,127.1846257,0.08688873795686636
2012-12-01,Florida,8.0,127.81508448,0.09831868435139524
2013-01-01,Florida,7.9,128.7296293,0.1081944675809412
2013-02-01,Florida,7.8,130.72418288,0.11520447453847082
2013-03-01,Florida,7.6,133.18914051,0.11592160517674177
2013-04-01,Florida,7.5,135.52805283,0.11618708083764528
2013-05-01,Florida,7.4,137.92055776,0.1224988846445465
2013-06-01,Florida,7.3,139.82909565,0.13056005045604335
2013-07-01,Florida,7.2,141.29548717,0.13709157708904196
2013-08-01,Florida,7.0,142.6281611,0.1399715759548703
2013-09-01,Florida,6.9,143.56559425,0.13982060848283862
2013-10-01,Florida,6.8,144.28892913,0.14020859302921296
2013-11-01,Florida,6.7,145.12868668,0.1410867145399004
2013-12-01,Florida,6.7,145.30263445,0.13681914025364028
2014-01-01,Florida,6.6,144.76712022,0.12458274763322108
2014-02-01,Florida,6.6,145.25569426,0.11116161569997662
2014-03-01,Florida,6.6,147.177886,0.10502917457410677
2014-04-01,Florida,6.5,149.23406442,0.10113043981523284
2014-05-01,Florida,6.4,150.85574749,0.09378724926931437
2014-06-01,Florida,6.3,152.12068635,0.08790438529879752
2014-07-01,Florida,6.2,152.75171157,0.0810799030418885
2014-08-01,Florida,6.1,153.01596964,0.0728313992123677
2014-09-01,Florida,6.1,153.64673114,0.07021972738429993
2014-10-01,Florida,6.0,154.31704472,0.06950024267603339
2014-11-01,Florida,5.9,154.70995804,0.06601914190215297
2014-12-01,Florida,5.9,155.25385616,0.06848617540671165
2015-01-01,Florida,5.8,156.21466216,0.07907556579562658
2015-02-01,Florida,5.7,157.95144015,0.08740274145311822
2015-03-01,Florida,5.7,159.97190945,0.08692897960227519
2015-04-01,Florida,5.6,161.8686023,0.08466255964483893
2015-05-01,Florida,5.6,164.12678364,0.0879716972724538
2015-06-01,Florida,5.5,166.33658118,0.09345142446499355
2015-07-01,Florida,5.4,167.95847306,0.0995521512243831
2015-08-01,Florida,5.3,168.87580534,0.10364823839834081
2015-09-01,Florida,5.3,169.6714758,0.10429603377242391
2015-10-01,Florida,5.2,170.80894509,0.10687024495527164
2015-11-01,Florida,5.1,171.71798235,0.10993490351540647
