GEOID,state,income,income.moe,age,age.moe
05091,Arkansas,40317.0,1704.0,37.8,0.4
05093,Arkansas,34612.0,1846.0,35.6,0.3
05095,Arkansas,27647.0,2257.0,45.2,1.3
05097,Arkansas,33037.0,3000.0,48.5,0.6
05099,Arkansas,30691.0,6746.0,41.8,1.7
05101,Arkansas,34536.0,4215.0,47.7,0.9
05103,Arkansas,31293.0,2373.0,42.7,0.7
05105,Arkansas,42346.0,4617.0,43.1,1.3
05107,Arkansas,26844.0,1699.0,37.8,0.7
05109,Arkansas,33097.0,2443.0,41.4,0.4
05111,Arkansas,33070.0,2520.0,40.2,0.7
05113,Arkansas,33702.0,1934.0,43.1,0.8
05115,Arkansas,39810.0,2382.0,35.2,0.5
05117,Arkansas,35833.0,3076.0,45.4,0.3
05119,Arkansas,46140.0,890.0,36.4,0.2
05121,Arkansas,34044.0,3141.0,42.9,1.0
05123,Arkansas,32105.0,2438.0,37.5,0.5
05125,Arkansas,55817.0,1634.0,38.7,0.4
05127,Arkansas,37321.0,3360.0,41.3,0.9
05129,Arkansas,33083.0,2407.0,47.0,0.5
05131,Arkansas,38575.0,1454.0,36.9,0.3
05133,Arkansas,36579.0,3298.0,34.9,0.4
05135,Arkansas,30691.0,1775.0,47.2,0.7
05137,Arkansas,29264.0,2701.0,48.5,0.7
05139,Arkansas,38678.0,2741.0,39.7,0.4
05141,Arkansas,32312.0,2393.0,47.1,0.5
05143,Arkansas,43524.0,1412.0,31.2,0.3
05145,Arkansas,42554.0,2009.0,36.2,0.3
05147,Arkansas,28993.0,2970.0,43.9,0.5
05149,Arkansas,37804.0,2149.0,39.1,0.6
06001,California,75619.0,613.0,37.1,0.1
06003,California,52917.0,13603.0,43.6,8.0
06005,California,54171.0,4208.0,50.0,0.2
06007,California,43444.0,1068.0,36.8,0.3
06009,California,53233.0,3774.0,50.7,0.3
06011,California,52168.0,2583.0,34.0,0.5
06013,California,80185.0,827.0,38.8,0.2
06015,California,40847.0,4369.0,38.8,0.7
06017,California,69584.0,1835.0,44.9,0.1
06019,California,45233.0,692.0,31.4,0.1
06021,California,39349.0,4204.0,37.2,0.4
06023,California,42197.0,1183.0,37.4,0.2
06025,California,41079.0,1556.0,32.2,0.2
06027,California,45955.0,2280.0,45.7,0.4
06029,California,49026.0,865.0,31.1,0.2
06031,California,46481.0,1200.0,31.4,0.2
06033,California,35578.0,2034.0,45.5,0.2
06035,California,51555.0,2789.0,37.0,0.5
06037,California,56196.0,270.0,35.6,0.1
06039,California,45073.0,1837.0,33.5,0.2
06041,California,93257.0,2610.0,45.4,0.1
06043,California,47681.0,4294.0,50.6,0.4
06045,California,42980.0,1757.0,42.2,0.3
06047,California,42462.0,1214.0,30.4,0.2
06049,California,37860.0,4210.0,47.8,0.7
06051,California,56944.0,10734.0,38.5,1.0
06053,California,58783.0,1121.0,33.5,0.1
06055,California,71379.0,2063.0,40.3,0.3
06057,California,56521.0,2539.0,49.0,0.2
06059,California,76509.0,426.0,37.1,0.2
06061,California,73948.0,1220.0,41.0,0.2
06063,California,47333.0,3575.0,51.3,0.5
06065,California,56603.0,478.0,34.5,0.1
06067,California,55987.0,594.0,35.5,0.1
06069,California,71077.0,2019.0,35.0,0.2
06071,California,53433.0,571.0,32.5,0.1
06073,California,64309.0,514.0,35.1,0.1
06075,California,81294.0,1099.0,38.5,0.1
06077,California,53274.0,946.0,33.5,0.1
06079,California,60691.0,1137.0,39.3,0.3
06081,California,93623.0,1412.0,39.5,0.2
06083,California,63985.0,1293.0,33.6,0.1
06085,California,96310.0,783.0,36.8,0.1
06087,California,67256.0,1534.0,37.0,0.2
06089,California,44620.0,1209.0,42.2,0.3
06091,California,42833.0,8464.0,54.5,1.1
06093,California,37170.0,1702.0,47.8,0.4
06095,California,66828.0,1238.0,37.3,0.1
06097,California,64240.0,1224.0,40.8,0.2
06099,California,50125.0,718.0,33.5,0.2
06101,California,52017.0,1350.0,35.4,0.2
06103,California,41001.0,2564.0,40.5,0.5
06105,California,34974.0,4081.0,50.3,0.3
06107,California,42031.0,920.0,30.3,0.2
06109,California,50306.0,2202.0,48.6,0.4
06111,California,77348.0,954.0,37.1,0.2
06113,California,54989.0,1553.0,30.9,0.2
06115,California,46892.0,1931.0,32.1,0.3
08001,Colorado,58946.0,1016.0,33.0,0.1
08003,Colorado,32395.0,6782.0,30.1,0.4
08005,Colorado,63265.0,942.0,36.1,0.2
08007,Colorado,46646.0,4453.0,49.6,0.6
08009,Colorado,38000.0,3517.0,47.6,1.2
08011,Colorado,36791.0,5397.0,41.1,1.7
08013,Colorado,70961.0,1552.0,35.8,0.1
08014,Colorado,81898.0,2803.0,37.5,0.3
08015,Colorado,51092.0,2278.0,49.2,0.5
08017,Colorado,52554.0,3744.0,37.0,3.7
08019,Colorado,67710.0,3884.0,48.0,1.1
08021,Colorado,36652.0,4979.0,38.4,0.5
08023,Colorado,31321.0,5677.0,49.0,2.1
08025,Colorado,31151.0,4231.0,35.5,3.6
08027,Colorado,35000.0,5776.0,56.4,3.0
08029,Colorado,42452.0,2626.0,47.3,0.5
08031,Colorado,53637.0,803.0,34.1,0.2
08033,Colorado,31875.0,3530.0,39.9,3.7
08035,Colorado,102964.0,1796.0,37.6,0.2
08037,Colorado,72214.0,3789.0,35.6,0.2
08039,Colorado,84963.0,4050.0,45.1,0.2
08041,Colorado,58206.0,869.0,33.6,0.2
08043,Colorado,40423.0,1747.0,43.5,0.6
08045,Colorado,56590.0,3065.0,35.9,0.3
08047,Colorado,65670.0,10178.0,44.7,2.2
08049,Colorado,63628.0,6543.0,42.5,0.6
08051,Colorado,48071.0,3928.0,34.3,0.6
08053,Colorado,57083.0,6141.0,55.2,3.6
08055,Colorado,31715.0,2861.0,53.5,0.7
08057,Colorado,46014.0,3111.0,50.8,4.0
08059,Colorado,70164.0,712.0,40.4,0.2
08061,Colorado,40304.0,3948.0,41.2,4.1
08063,Colorado,40603.0,5333.0,38.9,0.8
08065,Colorado,45367.0,6912.0,39.0,1.6
08067,Colorado,60278.0,1974.0,38.8,0.6
08069,Colorado,59805.0,1055.0,35.5,0.1
08071,Colorado,45067.0,2870.0,45.0,0.4
08073,Colorado,39005.0,4134.0,37.8,1.3
08075,Colorado,42319.0,3162.0,37.6,1.2
08077,Colorado,49322.0,1601.0,38.4,0.3
08079,Colorado,48125.0,8932.0,60.9,2.8
08081,Colorado,51387.0,3065.0,37.1,0.5
08083,Colorado,43553.0,2152.0,43.4,0.4
08085,Colorado,43999.0,1949.0,44.2,0.4
08087,Colorado,48450.0,2093.0,36.4,0.4
08089,Colorado,32311.0,3221.0,39.7,0.8
08091,Colorado,61624.0,3380.0,52.9,2.2
08093,Colorado,56969.0,5031.0,49.4,0.6
08095,Colorado,43639.0,4117.0,43.7,3.8
08097,Colorado,71196.0,11001.0,43.4,0.7
08099,Colorado,40179.0,3470.0,37.6,1.0
08101,Colorado,41286.0,901.0,38.8,0.2
08103,Colorado,61842.0,7994.0,36.4,2.3
08105,Colorado,39672.0,4196.0,40.9,0.6
08107,Colorado,64963.0,5211.0,40.1,0.5
08109,Colorado,33393.0,3124.0,46.1,0.5
08111,Colorado,36324.0,2185.0,46.0,8.5
08113,Colorado,56047.0,6153.0,40.7,0.9
08115,Colorado,44191.0,5886.0,49.8,2.9
08117,Colorado,67983.0,7621.0,37.1,1.1
08119,Colorado,62372.0,3543.0,49.4,0.3
08121,Colorado,45541.0,3034.0,44.4,0.5
08123,Colorado,60572.0,923.0,33.9,0.2
08125,Colorado,43105.0,4306.0,36.0,3.0
09001,Connecticut,84233.0,1252.0,39.7,0.1
09003,Connecticut,66395.0,636.0,40.1,0.1
09005,Connecticut,72061.0,1357.0,46.0,0.2
09007,Connecticut,79893.0,2048.0,44.2,0.1
09009,Connecticut,61640.0,688.0,39.8,0.2
09011,Connecticut,66233.0,1476.0,40.7,0.2
09013,Connecticut,79626.0,1920.0,38.1,0.3
09015,Connecticut,59392.0,2221.0,40.4,0.4
10001,Delaware,54976.0,1350.0,37.0,0.2
10003,Delaware,65476.0,783.0,37.5,0.2
10005,Delaware,53751.0,1168.0,47.0,0.2
11001,District of Columbia,70848.0,843.0,33.7,0.1
12001,Florida,43073.0,1713.0,30.8,0.2
12003,Florida,47121.0,4778.0,36.6,0.6
12005,Florida,47368.0,1318.0,39.8,0.4
12007,Florida,41606.0,4845.0,39.6,1.6
12009,Florida,48925.0,739.0,46.6,0.2
12011,Florida,51968.0,429.0,40.0,0.1
12013,Florida,34510.0,2159.0,40.5,0.6
12015,Florida,44244.0,1207.0,57.3,0.2
